时间_s,无吸收边界带能量,PML边界带能量,PML相对无吸收比值
1.39079745158834,23852.1567916986,8724.73530583379,0.365783915560639
1.39125676382467,23833.4926120736,8717.70328968191,0.365775315920995
1.39171607606099,23814.6009439221,8710.74954093169,0.365773483311499
1.39217538829731,23795.5250498408,8703.86597790912,0.365777429145962
1.39263470053364,23776.3114096641,8697.04483366494,0.365786125686845
1.39309401276996,23757.0094473215,8690.27872352755,0.365798512763034
1.39355332500629,23737.6712245399,8683.56070748763,0.365813504844173
1.39401263724261,23718.3511032523,8676.88434667417,0.365829998421955
1.39447194947893,23699.1053788314,8670.24375326223,0.365846879646634
1.39493126171526,23679.9918865165,8663.63363324269,0.365863032164965
1.39539057395158,23661.0695836644,8657.04932158394,0.365877345103653
1.3958498861879,23642.3981107199,8650.48680942125,0.365888721140305
1.39630919842423,23624.0373340736,8643.94276302212,0.365896084601708
1.39676851066055,23606.0468742516,8637.41453439074,0.365898389527136
1.39722782289688,23588.4856231556,8630.90016349245,0.365894627632218
1.3976871351332,23571.4112543496,8624.39837219578,0.365883836106942
1.39814644736952,23554.8797306514,8617.90855014443,0.365865105179466
1.39860575960585,23538.9448135374,8611.43073288233,0.365837585375953
1.39906507184217,23523.6575790969,8604.96557265924,0.365800494405495
1.39952438407849,23509.0659454635,8598.51430244109,0.3657531235987
1.39998369631482,23495.214216806,8592.07869373701,0.365694843828712
1.40044300855114,23482.1426490647,8585.66100893098,0.365625110844515
1.40090232078747,23469.8870426575,8579.26394887097,0.365543469948441
1.40136163302379,23458.4783673583,8572.89059651995,0.36544955995308
1.40182094526011,23447.9424244427,8566.54435751086,0.365343116357232
1.40228025749644,23438.2995510089,8560.22889847149,0.365223973686394
1.40273956973276,23429.5643711049,8553.94808399476,0.365092066950427
1.40319888196908,23421.7455979208,8547.70591312505,0.3649474321796
1.40365819420541,23414.8458908387,8541.50645621307,0.36479020601007
1.40411750644173,23408.8617705726,8535.35379296011,0.364620624300919
1.40457681867806,23403.7835949807,8529.25195242889,0.364439019777047
1.40503613091438,23399.5955973941,8523.20485574369,0.364245818705213
1.4054954431507,23396.2759884976,8517.21626213809,0.364041536624266
1.40595475538703,23393.797121919,8511.28971893592,0.363826773164635
1.40641406762335,23392.125722756,8505.42851597216,0.363602206006358
1.40687337985967,23391.2231773103,8499.63564487629,0.363368584038864
1.407332692096,23391.0458813155,8493.91376355358,0.363126719799154
1.40779200433232,23391.5456429725,8488.26516611116,0.362877481277569
1.40825131656865,23392.6701361516,8482.6917583875,0.362621783191741
1.40871062880497,23394.3633982136,8477.19503915781,0.362360577839239
1.40916994104129,23396.5663660618,8471.77608700482,0.362094845647678
1.40962925327762,23399.2174432848,8466.43555276685,0.361825585547374
1.41008856551394,23402.2530906023,8461.17365740301,0.361553805295815
1.41054787775026,23405.6084313121,8455.99019505097,0.361280511885285
1.41100718998659,23409.2178630585,8450.88454099572,0.361006702164614
1.41146650222291,23413.0156670243,8445.85566421986,0.360733353803513
1.41192581445924,23416.9366055984,8440.90214416627,0.360461416722983
1.41238512669556,23420.9164996934,8436.0221913139,0.360191805108239
1.41284443893188,23424.8927771875,8431.21367114575,0.359925390111351
1.41330375116821,23428.8049844425,8426.47413107525,0.359662993339639
1.41376306340453,23432.5952534991,8421.80082989241,0.359405381212942
1.41422237564085,23436.208718356,8417.1907692935,0.359153260258383
1.41468168787718,23439.5938747037,8412.64072706698,0.358907273395466
1.4151410001135,23442.7028785657,8408.14729152326,0.358667997247495
1.41560031234983,23445.4917805031,8403.70689677461,0.358435940497652
1.41605962458615,23447.9206933173,8399.31585849447,0.35821154328999
1.41651893682247,23449.9538925286,8394.97040981033,0.35799517765726
1.4169782490588,23451.5598502766,8390.66673701027,0.357787148939319
1.41743756129512,23452.7112046554,8386.40101477052,0.357587698138108
1.41789687353144,23453.3846678303,8382.16944063638,0.357397005138185
1.41835618576777,23453.5608775542,8377.96826851398,0.357215192705853
1.41881549800409,23453.2241978717,8373.79384095198,0.357042331165362
1.41927481024042,23452.3624758553,8369.64262001203,0.356878443637768
1.41973412247674,23450.9667621139,8365.51121654316,0.356723511717138
1.42019343471306,23449.0310035436,8361.396417688,0.356577481450062
1.42065274694939,23446.551717324,8357.29521245874,0.356440269478252
1.42111205918571,23443.52765549,8353.20481522722,0.356311769200446
1.42157137142203,23439.9594695139,8349.12268697722,0.356191856809144
1.42203068365836,23435.8493842181,8345.04655416842,0.356080397059901
1.42248999589468,23431.2008899943,8340.97442506152,0.355977248636169
1.42294930813101,23426.0184617432,8336.9046033524,0.355882268980848
1.42340862036733,23420.3073121821,8332.8356989622,0.355795318476793
1.42386793260365,23414.0731861996,8328.76663582968,0.355716263872392
1.42432724483998,23407.3222018034,8324.69665655324,0.355644980864658
1.4247865570763,23400.060741925,8320.62532373377,0.355581355770843
1.42524586931262,23392.2953999419,8316.55251787713,0.355525286240092
1.42570518154895,23384.0329802902,8312.47843172625,0.355476680978538
1.42616449378527,23375.2805540046,8308.40356090942,0.355435458484199
1.4266238060216,23366.0455674646,8304.32869081368,0.355401544811537
1.42708311825792,23356.3360010985,8300.25487961978,0.355374870409015
1.42754243049424,23346.1605733217,8296.1834374697,0.355355366096042
1.42800174273057,23335.5289836099,8292.1159017773,0.355342958267688
1.42846105496689,23324.4521873619,8288.05400873953,0.355337563436123
1.42892036720321,23312.9426941207,8283.99966115675,0.355339082236319
1.42937967943954,23301.0148798253,8279.95489272718,0.355347393039786
1.42983899167586,23288.6853030858,8275.92182904141,0.355362345333629
1.43029830391219,23275.9730150227,8271.90264556604,0.355383753032675
1.43075761614851,23262.8998520087,8267.89952297072,0.355411387899553
1.43121692838483,23249.4907007057,8263.91460021898,0.355444973251313
1.43167624062116,23235.773725096,8259.94992590711,0.355484178131149
1.43213555285748,23221.7805457714,8256.00740839786,0.355528612120195
1.4325948650938,23207.5463625486,8252.0887653527,0.355577820956963
1.43305417733013,23193.1100125176,8248.19547331848,0.355631283121015
1.43351348956645,23178.5139568704,8244.32871806783,0.355688407522956
1.43397280180278,23163.8041912851,8240.48934642796,0.355748532424923
