time_s,vz_taylor,vz_optimized,vx_taylor,vx_optimized
0.241062372,-3.86313761e-39,2.66263908e-33,-3.1869164e-39,2.84616689e-33
0.242861345,-4.10911875e-39,8.72669856e-34,-4.12528273e-39,1.90538792e-33
0.244660318,-1.49895317e-39,-3.39891198e-33,-3.14124512e-39,-1.27272744e-33
0.246459291,5.86161638e-39,-1.00496415e-32,1.62476257e-39,-7.00907062e-33
0.248258264,1.87846359e-38,-1.73545193e-32,1.16270493e-38,-1.43210243e-32
0.250057237,3.49419897e-38,-2.13858502e-32,2.62683132e-38,-2.02073614e-32
0.25185621,4.64742039e-38,-1.62339367e-32,4.06519203e-38,-1.94887664e-32
0.253655183,3.86245381e-38,4.30511548e-33,4.36446213e-38,-5.86195364e-33
0.255454155,-8.26946704e-39,4.31666565e-32,1.80906649e-38,2.52879992e-32
0.257253128,-1.10614149e-37,9.4938077e-32,-5.42476785e-38,7.23381817e-32
0.259052101,-2.65391652e-37,1.40909166e-31,-1.80689758e-37,1.22262982e-31
0.260851074,-4.27672673e-37,1.47414e-31,-3.38483442e-37,1.47439609e-31
0.262650047,-4.90143202e-37,7.16546718e-32,-4.53464109e-37,1.08279126e-31
0.26444902,-2.81786139e-37,-1.21347822e-31,-3.89145947e-37,-3.43484243e-32
0.266247993,3.89823105e-37,-4.30292585e-31,3.32149305e-38,-2.9511769e-31
0.268046966,1.62926593e-36,-7.83785823e-31,9.60151858e-37,-6.32210346e-31
0.269845939,3.27253558e-36,-1.01626343e-30,2.36379831e-36,-9.18863227e-31
0.271644912,4.67454444e-36,-8.7692926e-31,3.85004313e-36,-9.38724466e-31
0.273443885,4.57368764e-36,-9.69302316e-32,4.49083657e-36,-4.29676836e-31
0.275242858,1.21757436e-36,1.47110122e-30,2.82446779e-36,8.05295494e-31
0.277041831,-7.02846154e-36,3.6563206e-30,-2.77946058e-36,2.72404876e-30
0.278840803,-2.0437512e-35,5.77765397e-30,-1.32132989e-35,4.8520585e-30
0.280639776,-3.61400133e-35,6.57087123e-30,-2.71672041e-35,6.16430209e-30
0.282438749,-4.63741889e-35,4.38232853e-30,-3.944698e-35,5.1766247e-30
0.284237722,-3.79628934e-35,-2.24487141e-30,-3.99430024e-35,3.79163228e-31
0.286036695,5.24510175e-36,-1.35785588e-29,-1.46683351e-35,-8.93441376e-30
0.287835668,9.52182057e-35,-2.7501613e-29,4.94861907e-35,-2.15651306e-29
0.289634641,2.27227727e-34,-3.86032709e-29,1.55222177e-34,-3.34165814e-29
0.291433614,3.64079362e-34,-3.83083267e-29,2.81393428e-34,-3.72593524e-29
0.293232587,4.23593191e-34,-1.68586901e-29,3.69981563e-34,-2.40266454e-29
0.29503156,2.80875308e-34,3.23695591e-29,3.22262391e-34,1.37782681e-29
0.296830533,-1.99895623e-34,1.06602561e-28,1.6605304e-35,7.66570448e-29
0.298629506,-1.09210663e-33,1.87229472e-28,-6.39909275e-34,1.5194859e-28
0.300428479,-2.29274807e-33,2.36517279e-28,-1.6220355e-33,2.09648361e-28
0.302227452,-3.39506319e-33,2.01846209e-28,-2.67434361e-33,2.04106122e-28
0.304026424,-3.61209581e-33,3.13694643e-29,-3.22199478e-33,8.54993706e-29
